"","0061.00113.0","0063.00113.0","0061.00115.0","0063.00115.0"
"1974-09-01",275.222625732422,274.237701416016,275.079650878906,274.204833984375
"1974-10-01",264.432189941406,263.590942382812,264.271759033203,263.5029296875
"1974-11-01",248.332244873047,247.056884765625,248.164413452148,246.839920043945
"1974-12-01",239.166687011719,237.554779052734,238.975067138672,237.404724121094
"1975-01-01",235.549438476562,234.889587402344,235.671981811523,234.953338623047
"1975-02-01",250.117660522461,248.47541809082,249.70068359375,248.143661499023
"1975-03-01",258.504852294922,257.140014648438,257.889739990234,256.663452148438
"1975-04-01",264.160400390625,263.385589599609,264.284149169922,263.68994140625
"1975-05-01",275.809753417969,276.167175292969,275.870086669922,276.303863525391
"1975-06-01",286.439544677734,285.995086669922,286.806701660156,286.574920654297
"1975-07-01",289.141143798828,289.28759765625,289.252075195312,289.651733398438
"1975-08-01",285.407165527344,285.749420166016,285.482666015625,286.047943115234
"1975-09-01",275.123413085938,274.502838134766,275.286224365234,274.827453613281
"1975-10-01",262.338073730469,260.274688720703,262.013031005859,260.182922363281
"1975-11-01",247.050506591797,244.702270507812,246.897430419922,244.701034545898
"1975-12-01",242.949691772461,241.932479858398,242.828811645508,241.720977783203
"1976-01-01",238.37174987793,236.153472900391,237.784530639648,235.697128295898
"1976-02-01",243.600128173828,241.332946777344,243.043991088867,241.005615234375
"1976-03-01",258.66064453125,256.90576171875,258.410400390625,256.63232421875
"1976-04-01",268.818237304688,267.169769287109,268.211639404297,266.624664306641
"1976-05-01",275.425384521484,275.32470703125,275.599304199219,275.623626708984
"1976-06-01",283.07421875,283.334594726562,283.310424804688,283.792785644531
"1976-07-01",287.411285400391,287.682464599609,287.019317626953,287.548126220703
"1976-08-01",286.007934570312,285.808013916016,286.139373779297,286.137756347656
"1976-09-01",276.459625244141,275.584716796875,276.115783691406,275.397857666016
"1976-10-01",262.706695556641,261.751617431641,262.513305664062,261.693756103516
"1976-11-01",251.870544433594,248.031066894531,251.36686706543,247.693588256836
"1976-12-01",246.412734985352,243.661010742188,245.968368530273,243.058532714844
"1977-01-01",240.313446044922,237.486877441406,240.1279296875,237.295028686523
"1977-02-01",247.65055847168,245.485931396484,247.256057739258,245.208572387695
"1977-03-01",259.552917480469,257.638153076172,259.199676513672,257.270202636719
"1977-04-01",264.539825439453,263.555206298828,264.106292724609,263.331390380859
"1977-05-01",272.637664794922,272.534820556641,272.622406005859,272.651519775391
"1977-06-01",283.459167480469,283.122009277344,284.076629638672,283.928314208984
"1977-07-01",288.153747558594,288.325958251953,288.066711425781,288.526641845703
"1977-08-01",282.990905761719,283.064300537109,283.021087646484,283.275177001953
"1977-09-01",272.891326904297,273.048095703125,272.719787597656,273.035400390625
"1977-10-01",260.707977294922,259.144714355469,260.339111328125,258.901336669922
"1977-11-01",253.6015625,250.069137573242,253.124420166016,249.602386474609
"1977-12-01",244.732162475586,244.487701416016,244.245666503906,243.906356811523
"1978-01-01",246.903411865234,243.799606323242,246.107559204102,243.069549560547
"1978-02-01",257.196533203125,254.717102050781,256.525573730469,253.874603271484
"1978-03-01",259.313537597656,256.297393798828,259.010070800781,256.075561523438
"1978-04-01",268.025909423828,266.844879150391,267.945861816406,266.854370117188
"1978-05-01",274.608306884766,274.296539306641,274.540130615234,274.303894042969
"1978-06-01",281.950988769531,281.985290527344,281.939544677734,282.059967041016
"1978-07-01",289.754058837891,289.776916503906,290.060241699219,290.398712158203
"1978-08-01",282.860626220703,282.879638671875,282.982849121094,283.203125
"1978-09-01",276.303955078125,276.033782958984,276.105377197266,275.939971923828
"1978-10-01",264.666015625,264.150573730469,264.385040283203,263.924530029297
"1978-11-01",251.907897949219,249.2001953125,251.8212890625,249.251739501953
"1978-12-01",242.755706787109,239.576309204102,242.360214233398,239.281814575195
"1979-01-01",247.22526550293,246.460510253906,246.858245849609,246.035858154297
"1979-02-01",245.959030151367,243.881378173828,245.558776855469,243.571487426758
"1979-03-01",259.178466796875,256.731414794922,258.597320556641,256.263763427734
"1979-04-01",264.143096923828,263.440551757812,264.330749511719,263.689605712891
"1979-05-01",274.134033203125,273.374969482422,273.868408203125,273.267303466797
"1979-06-01",284.232147216797,284.638671875,284.0595703125,284.659393310547
"1979-07-01",285.703765869141,285.257354736328,285.442291259766,285.231964111328
"1979-08-01",284.075744628906,283.322296142578,283.667694091797,283.156066894531
"1979-09-01",275.968414306641,275.620727539062,275.898681640625,275.643920898438
"1979-10-01",264.709655761719,262.498046875,264.194305419922,262.025329589844
"1979-11-01",251.388854980469,249.040237426758,251.142456054688,248.992385864258
"1979-12-01",241.602478027344,239.662002563477,241.981964111328,240.215026855469
"1980-01-01",249.398727416992,247.246307373047,249.173919677734,247.035049438477
"1980-02-01",248.064041137695,245.611083984375,247.925308227539,245.533233642578
"1980-03-01",261.787506103516,260.044738769531,261.260467529297,259.512969970703
"1980-04-01",266.281280517578,264.816833496094,266.393127441406,265.034118652344
"1980-05-01",275.022094726562,274.673645019531,275.123138427734,274.892059326172
"1980-06-01",287.294006347656,286.852752685547,287.551605224609,287.447082519531
"1980-07-01",290.502044677734,289.946044921875,290.183044433594,289.802551269531
"1980-08-01",283.483612060547,283.289459228516,283.278717041016,283.215545654297
"1980-09-01",274.904663085938,274.149353027344,274.846038818359,274.179290771484
"1980-10-01",260.71337890625,259.261688232422,260.410034179688,259.282745361328
"1980-11-01",248.755157470703,245.385177612305,248.162109375,244.87922668457
"1980-12-01",246.584594726562,242.018707275391,245.348754882812,240.839645385742
"1981-01-01",250.083023071289,248.268920898438,249.548263549805,247.831069946289
"1981-02-01",241.037185668945,239.344223022461,240.518356323242,238.967895507812
"1981-03-01",256.014739990234,255.635055541992,255.849472045898,255.581665039062
"1981-04-01",266.611541748047,266.173461914062,266.393035888672,266.067138671875
"1981-05-01",276.888458251953,276.872375488281,276.898529052734,277.007537841797
"1981-06-01",287.059661865234,287.223449707031,286.783660888672,287.118133544922
"1981-07-01",286.633880615234,286.216064453125,286.6181640625,286.388275146484
"1981-08-01",282.542999267578,281.320495605469,282.458374023438,281.382659912109
"1981-09-01",275.04833984375,274.41357421875,274.824462890625,274.358581542969
"1981-10-01",265.897369384766,264.622894287109,265.043548583984,263.915710449219
"1981-11-01",253.491439819336,251.535873413086,252.872573852539,250.936645507812
"1981-12-01",244.253799438477,240.695175170898,244.335494995117,240.711044311523
"1982-01-01",239.360580444336,236.910705566406,239.198440551758,236.735488891602
"1982-02-01",247.724502563477,245.950119018555,247.79638671875,245.979934692383
"1982-03-01",256.437530517578,255.489898681641,255.812133789062,254.941741943359
"1982-04-01",265.595611572266,265.279754638672,265.1103515625,264.919830322266
"1982-05-01",275.541290283203,274.9638671875,275.177215576172,274.805938720703
"1982-06-01",284.230285644531,284.170379638672,283.886810302734,283.963684082031
"1982-07-01",286.1572265625,285.817321777344,285.749267578125,285.540557861328
"1982-08-01",285.719512939453,284.723236083984,285.458740234375,284.624664306641
"1982-09-01",275.870941162109,275.109344482422,275.557067871094,274.903930664062
"1982-10-01",267.572387695312,266.966003417969,267.374084472656,266.7314453125
"1982-11-01",253.163360595703,251.586700439453,253.161651611328,251.679565429688
"1982-12-01",240.134155273438,239.507431030273,239.402923583984,238.860778808594
"1983-01-01",251.261093139648,249.526473999023,250.866104125977,249.117614746094
"1983-02-01",255.98356628418,254.355712890625,255.177978515625,253.77864074707
"1983-03-01",260.984100341797,259.383178710938,260.817260742188,259.24609375
"1983-04-01",267.280090332031,266.545715332031,266.965148925781,266.42578125
"1983-05-01",273.832214355469,273.420318603516,273.726989746094,273.497039794922
"1983-06-01",284.256134033203,284.382965087891,284.144134521484,284.378601074219
"1983-07-01",288.518371582031,288.419403076172,288.548095703125,288.612365722656
"1983-08-01",283.835968017578,283.305419921875,283.554962158203,283.239318847656
"1983-09-01",276.171081542969,275.796600341797,275.984283447266,275.753723144531
"1983-10-01",265.847991943359,265.046051025391,265.751495361328,265.108276367188
"1983-11-01",251.640441894531,250.411651611328,251.052124023438,249.762329101562
"1983-12-01",239.188751220703,237.766754150391,238.948501586914,237.714538574219
"1984-01-01",235.271774291992,233.246017456055,234.521728515625,232.863906860352
"1984-02-01",249.634552001953,247.966918945312,248.935302734375,247.176696777344
"1984-03-01",259.619110107422,258.833160400391,259.101379394531,258.481628417969
"1984-04-01",265.890838623047,264.899169921875,265.559967041016,264.77880859375
"1984-05-01",276.681060791016,276.31396484375,276.512969970703,276.170593261719
"1984-06-01",283.8310546875,284.260803222656,283.755706787109,284.371002197266
"1984-07-01",289.367797851562,288.955169677734,289.367065429688,289.073852539062
"1984-08-01",280.787933349609,280.866607666016,281.048187255859,281.251495361328
"1984-09-01",274.324768066406,273.664154052734,274.060791015625,273.542358398438
"1984-10-01",267.390289306641,265.9580078125,267.025299072266,265.606628417969
"1984-11-01",258.604949951172,256.175933837891,258.055419921875,255.45344543457
"1984-12-01",243.879745483398,243.719177246094,243.692306518555,243.377258300781
"1985-01-01",239.978363037109,238.556549072266,239.059860229492,237.781295776367
"1985-02-01",243.970062255859,242.173294067383,243.933059692383,242.360061645508
"1985-03-01",259.819091796875,258.504425048828,259.320220947266,258.074066162109
"1985-04-01",268.096740722656,267.465911865234,267.791473388672,267.237457275391
"1985-05-01",276.083862304688,275.719207763672,276.090881347656,275.785491943359
"1985-06-01",285.137115478516,285.682647705078,284.939544677734,285.631744384766
"1985-07-01",288.757171630859,288.810424804688,289.016906738281,289.288726806641
"1985-08-01",286.249267578125,285.466583251953,285.954833984375,285.304046630859
"1985-09-01",274.81640625,274.359375,274.862030029297,274.567718505859
"1985-10-01",261.706634521484,260.707458496094,261.372253417969,260.462036132812
"1985-11-01",250.635620117188,247.222122192383,250.187683105469,246.828536987305
"1985-12-01",233.774688720703,233.071365356445,233.721099853516,233.221984863281
"1986-01-01",239.132308959961,237.83903503418,239.471130371094,238.30387878418
"1986-02-01",253.914489746094,252.589553833008,253.505554199219,252.184692382812
"1986-03-01",259.877227783203,258.776947021484,259.291778564453,258.341674804688
"1986-04-01",271.664947509766,271.176330566406,271.368591308594,270.872222900391
"1986-05-01",276.348510742188,275.832397460938,276.339904785156,275.90087890625
"1986-06-01",284.511810302734,285.398559570312,284.452209472656,285.458648681641
"1986-07-01",292.056121826172,292.006378173828,291.865844726562,292.060272216797
"1986-08-01",283.555755615234,282.666473388672,283.573516845703,282.896362304688
"1986-09-01",272.505096435547,271.776306152344,272.377960205078,271.779266357422
"1986-10-01",262.453002929688,260.028533935547,261.997314453125,259.61962890625
"1986-11-01",247.038787841797,243.745239257812,246.299331665039,243.450775146484
"1986-12-01",237.148544311523,235.488372802734,236.803771972656,235.315063476562
"1987-01-01",240.874816894531,239.410949707031,240.405517578125,239.041137695312
"1987-02-01",254.520156860352,253.602874755859,254.246337890625,253.446868896484
"1987-03-01",259.496704101562,257.550811767578,258.829223632812,256.951782226562
"1987-04-01",271.096435546875,270.086334228516,270.762908935547,269.799682617188
"1987-05-01",276.985046386719,276.629791259766,276.890045166016,276.627471923828
"1987-06-01",284.426422119141,284.061645507812,284.545928955078,284.348876953125
"1987-07-01",288.568420410156,288.315216064453,288.372375488281,288.079650878906
"1987-08-01",287.432220458984,287.146575927734,287.462249755859,287.188232421875
"1987-09-01",275.21240234375,274.605072021484,275.104125976562,274.574523925781
"1987-10-01",264.662506103516,264.086578369141,264.564910888672,264.051818847656
"1987-11-01",242.086273193359,239.811996459961,241.826934814453,239.760925292969
"1987-12-01",244.74040222168,243.355194091797,245.024459838867,243.437927246094
"1988-01-01",246.59765625,243.876754760742,246.034591674805,243.283889770508
"1988-02-01",251.148315429688,249.311920166016,250.664581298828,248.917816162109
"1988-03-01",262.381011962891,261.866668701172,262.043426513672,261.553588867188
"1988-04-01",269.914459228516,268.902618408203,269.610198974609,268.657684326172
"1988-05-01",276.599182128906,276.139434814453,276.231384277344,275.893859863281
"1988-06-01",285.16796875,284.499237060547,284.900299072266,284.499572753906
"1988-07-01",289.9052734375,289.899444580078,289.535552978516,289.949432373047
"1988-08-01",280.372253417969,279.524566650391,280.300354003906,279.561676025391
"1988-09-01",275.353759765625,274.473754882812,275.190521240234,274.398010253906
"1988-10-01",261.960021972656,260.727630615234,261.867767333984,260.81591796875
"1988-11-01",253.578628540039,252.770111083984,253.409683227539,252.587829589844
"1988-12-01",245.510833740234,245.754730224609,245.592361450195,245.604873657227
